SECTION ID,HIGHWAY,SECTION,SECTION LENGTH,SECTION DESCRIPTION,Date,DESCRIPTION,GROUP,TYPE,COUNTY,PTRUCKS,ADT,AADT,DIRECTION,85PCT,PRIORITY_POINTS
118010,118,10,2.88,VICTORIA RD (RTE 322) TO HWY 111 INTER/C,12/10/2018,LANCASTER DR TO WOODLAND AVE,B,TC,HFX,,260,290,,,
118010,118,10,2.88,VICTORIA RD (RTE 322) TO HWY 111 INTER/C,12/10/2018,HWY 118 TO LANCASTER DR,B,TC,HFX,,2498,2730,,,
118010,118,10,2.88,VICTORIA RD (RTE 322) TO HWY 111 INTER/C,12/10/2018,MICMAC BLVD TO HWY 118,B,TC,HFX,,2720,2970,,,
118010,118,10,2.88,VICTORIA RD (RTE 322) TO HWY 111 INTER/C,12/10/2018,WOODLAND AVE TO MICMAC BLVD,B,TC,HFX,,1688,1850,,,
103100,103,100,11.66,EXIT 11 (RTE 324)(BLOCKHOUSE) TO EXIT 12 (TK 10)(BRIDGEWATER),12/05/2018,2.5 KM WEST OF EXIT 11 (EB) (LOOPS),C,TC,LUN,,4586,5300,E,,
103100,103,100,11.66,EXIT 11 (RTE 324)(BLOCKHOUSE) TO EXIT 12 (TK 10)(BRIDGEWATER),12/05/2018,2.5 KM WEST OF EXIT 11 (WB) (LOOPS),C,TC,LUN,,4662,5380,W,,
102035,102,35,3.05,EXIT 2B (LARRY UTECK BLVD) TO EXIT 3 (RTE 213 INTER/C),12/04/2018,2.2 KM SOUTH OF EXIT 3 (SB) (LOOPS),A,TC,HFX,,26197,28300,S,,
102080,102,80,5.43,EXIT 6 (HFX INT AIRPORT INTER/C) TO EXIT 7 (ENFIELD INTER/C),12/04/2018,5 KM NORTH OF EXIT 6 (NB) (LOOPS),A,TC,HFX,,15921,17200,N,,
102080,102,80,5.43,EXIT 6 (HFX INT AIRPORT INTER/C) TO EXIT 7 (ENFIELD INTER/C),12/04/2018,5 KM NORTH OF EXIT 6 (SB) (LOOPS),A,TC,HFX,,16381,17700,S,,
102025,102,25,3.22,EXIT 2A (BAYER'S LAKE INTER/C) TO EXIT 2 (KEARNEY LAKE INTER/C),12/04/2018,2 KM SOUTH OF EXIT 2 (SB) (LOOPS),A,TC,HFX,,27596,29800,S,,
102020,102,20,2.37,EXIT 1A (HWY 103 INTER/C) TO EXIT 2A (BAYER'S LAKE INTER/C),12/04/2018,1.9 KM SOUTH OF EXIT 2A (SB) (LOOPS),A,TC,HFX,,26188,28300,S,,
101040,101,40,8.26,EXIT 3 (MT UNIACKE INTER/C) TO RAILWAY OVERPASS (STILLWATER),12/03/2018,4.8 KM WEST OF EXIT 3 (WB) (LOOPS),A,TC,HAN,,7303,7880,W,,
101020,101,20,3.71,TK 1 OVERPASS (LOWER SACKVILLE) TO EXIT 2 (RTE 354 INTER/C),12/03/2018,1.4 KM WEST OF TK 1 (EB) (LOOPS),A,TC,HFX,,28386,30600,E,,
101020,101,20,3.71,TK 1 OVERPASS (LOWER SACKVILLE) TO EXIT 2 (RTE 354 INTER/C),12/03/2018,1.4 KM WEST OF TK 1 (WB) (LOOPS),A,TC,HFX,,20959,22600,W,,
101040,101,40,8.26,EXIT 3 (MT UNIACKE INTER/C) TO RAILWAY OVERPASS (STILLWATER),12/03/2018,4.8 KM WEST OF EXIT 3 (EB) (LOOPS),A,TC,HAN,,7404,7990,E,,
118020,118,20,1.76,HWY 111 INTER/C TO EXIT 12 (WRIGHT AVE),12/03/2018,COLLECTOR LANE AND ACCESS TO EXIT RAMP (SB) (LOOPS),AA,TC,HFX,,21524,20800,S,,
118020,118,20,1.76,HWY 111 INTER/C TO EXIT 12 (WRIGHT AVE),12/03/2018,1.09 KM SOUTH OF WRIGHT AVE (SB) (LOOPS),AA,TC,HFX,,7147,6920,S,,
101060,101,60,2.33,EXIT 5 (TK 14 INTER/C) TO EXIT 5A (WENTWORTH RD INTER/C),12/03/2018,1.1 KM WEST OF EXIT 5 (WB) (LOOPS),B,TC,HAN,,7798,8340,W,,
101060,101,60,2.33,EXIT 5 (TK 14 INTER/C) TO EXIT 5A (WENTWORTH RD INTER/C),12/03/2018,1.1 KM WEST OF EXIT 5 (EB) (LOOPS),B,TC,HAN,,8155,8720,E,,
102040,102,40,3.81,EXIT 3 (RTE 213 INTER/C) TO EXIT 4 (HWY 101 INTER/C),11/27/2018,2 KM NORTH OF EXIT 3 (NB) (LOOPS),A,TC,HFX,,28407,29500,N,,
102075,102,75,3.29,EXIT 5A (AEROTECH PK INTER/C) TO EXIT 6 (HFX INT AIRPORT INTER/C),11/27/2018,2.1 KM NORTH OF EXIT 5A (NB) (LOOPS),A,TC,HFX,,19128,19900,N,,
207020,207,20,6.9,ROSS RD (RTE 328) TO WEST LAWRENCETOWN RD,11/08/2018,1.5 KM EAST OF RTE 328,A,TC,HFX,,7555,7840,,,
207025,207,25,5.95,WEST LAWRENCETOWN RD TO WEST PORTERS LAKE RD,11/08/2018,2.5 KM EAST OF WEST LAWRENCETOWN RD,B,TC,HFX,,2322,2390,,,
207030,207,30,4.61,BELLEFONTAINE RD TO TK 7,11/08/2018,1.5 KM WEST OF TK 7,B,TC,HFX,,2298,2360,,,
207027,207,27,12,WEST PORTERS LAKE RD TO BELLEFONTAINE RD,11/08/2018,2 KM EAST OF CAUSEWAY RD,B,TC,HFX,4,836,860,,,
107017,107,17,5.08,EXIT 14 (MONTAGUE RD INTER/C) TO TK 7 INTER/S (HRM),11/07/2018,1.6 KM EAST OF EXIT 14 (EB) (LOOPS),A,TC,HFX,,7276,7552,E,,
107015,107,15,3.57,HWY 118 INTER/C TO EXIT 14 (MONTAGUE RD INTER/C),11/07/2018,AT CONRADS GRAVEL PIT (PORTOBELLO) (EB) (LOOPS),A,TC,HFX,,8976,9319,E,,
107015,107,15,3.57,HWY 118 INTER/C TO EXIT 14 (MONTAGUE RD INTER/C),11/07/2018,AT CONRADS GRAVEL PIT (PORTOBELLO) (WB) (LOOPS),A,TC,HFX,,8948,9288,W,,
107017,107,17,5.08,EXIT 14 (MONTAGUE RD INTER/C) TO TK 7 INTER/S (HRM),11/07/2018,1.6 KM EAST OF EXIT 14 (WB) (LOOPS),A,TC,HFX,,7285,7564,W,,
107030,107,30,7.21,EXIT 18 (MINESVILLE RD INTER/C) TO EXIT 19 (PORTERS LAKE INTER/C),11/07/2018,2.35 KM EAST OF EXIT 18 (EB) (LOOPS),A,VC,HFX,5,5847,6071,E,,
107030,107,30,7.21,EXIT 18 (MINESVILLE RD INTER/C) TO EXIT 19 (PORTERS LAKE INTER/C),11/07/2018,2.35 KM EAST OF EXIT 18 (WB) (LOOPS),A,VC,HFX,6,5892,6118,W,,
107019,107,19,1.58,EXIT 16 (ROSS RD INTER/S) TO EXIT 17 (TK 7) (PRESTON),11/07/2018,1 KM EAST OF EXIT 16 (ROSS RD),A,TC,HFX,,19585,20335,,,
107020,107,20,4.38,EXIT 17 (TK 7) (PRESTON) TO EXIT 18 (MINESVILLE RD INTER/C),11/07/2018,1.25 KM EAST OF EXIT 17 (TK 7),A,TC,HFX,,14125,14666,,,
202007,202,7,8.32,CROSS 3 RD (SOUTH RAWDON) TO TK 14 (RAWDON),11/05/2018,2 KM EAST OF ASHDALE RD (EB),B,VC,HAN,4,259,267,E,,
202005,202,5,7.45,TK 1 (LAKELAND) TO CROSS 3 RD (RAWDON),11/05/2018,1 KM EAST OF HILLSVALE,B,TC,HAN,,776,798,,,
14080,14,80,12.2,SANGSTER BRIDGE RD (WINDSOR FORKS) TO NEW ROSS RD (VAUGHN),11/05/2018,JUST EAST OF SMITHS CORNER,B,TC,HAN,,2121,2183,,,
202015,202,15,7.25,VALLEY RD (WEST GORE) TO RTE 354 (GORE),11/05/2018,1 KM WEST OF RTE 354,B,TC,HAN,,477,491,,,
215040,215,40,5.42,TK 14 (BROOKLYN) TO TK 1 (NEWPORT CORNER),11/05/2018,JUST EAST OF MCKAY RD,B,TC,HAN,,2201,2265,,,
202007,202,7,8.32,CROSS 3 RD (SOUTH RAWDON) TO TK 14 (RAWDON),11/05/2018,2 KM EAST OF ASHDALE RD (WB),B,VC,HAN,4,254,261,W,,
202010,202,10,8.17,TK 14 (RAWDON) TO VALLEY RD (WEST GORE),11/05/2018,1.5 KM EAST OF GLENBROOK RD,B,VC,HAN,2,243,250,,,
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),11/01/2018,1 KM WEST OF OLD UNIACKE MINES RD,B,TC,HAN,,3512,3510,,,
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),11/01/2018,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE,B,TC,HAN,,5891,5890,,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,11/01/2018,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,2312,2320,,,
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),11/01/2018,JUST WEST OF RAWDON RD (LAKELANDS),C,TC,HAN,,1061,1080,,,
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,11/01/2018,JUST WEST OF PLEASANT ST (WB),B,VC,HAN,5,965,970,W,,
1100,1,100,8.75,FALMOUTH CONN TO HANTSPORT CONN,11/01/2018,2 KM WEST OF HWY 101 OVERPASS (FALMOUTH),A,TC,HAN,,1262,1260,,,
1070,1,70,3.67,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),11/01/2018,1 KM EAST OF HWY 101 (ST CROIX),B,TC,HAN,,3848,3850,,,
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,11/01/2018,JUST WEST OF PLEASANT ST (EB),B,VC,HAN,6,944,940,E,,
253010,253,10,12.02,RTE 349 (ARMDALE) TO RTE 349 (HERRING COVE),10/31/2018,HALIFAX CITY LINE,AA,TC,HFX,,1258,1220,,,
306010,306,10,3.78,RTE 349 (HERRING COVE RD) TO HALIFAX CITY LINE,10/31/2018,HALIFAX CITY LINE,A,TC,HFX,,8791,8810,,,
103040,103,40,10.2,EXIT 5 (RTE 213) (TANTALLON) TO EXIT 5A (INGRAMPORT INTER/C),10/31/2018,1 KM EAST OF INGRAMPORT INTER/C (EB) (LOOPS),C,TC,HFX,,5633,5740,E,,
103040,103,40,10.2,EXIT 5 (RTE 213) (TANTALLON) TO EXIT 5A (INGRAMPORT INTER/C),10/31/2018,1 KM EAST OF INGRAMPORT INTER/C (WB) (LOOPS),C,TC,HFX,,5581,5680,W,,
306020,306,20,6.25,HALIFAX CITY LINE TO FRASER RD (HARRIETSFIELD),10/31/2018,0.5 KM SOUTH OF WHITEHEAD RD,A,TC,HFX,,3935,3942,,,
